u,x1,x2
0.05078377639710763,-0.01788044644786031 -0.003910305983151962 29.75034571640213,-0.017881991582539242 -0.002648771887305613 29.110849019085894
0.04943571322237947,-0.017881991582539242 -0.002648771887305613 29.110849019085894,-0.01786625444629133 -0.002036133960466871 28.268675021929873
0.04708950277711507,-0.01786625444629133 -0.002036133960466871 28.268675021929873,-0.01789705554943237 -0.002154740919224166 27.734062172447544
0.04169946849340639,-0.01789705554943237 -0.002154740919224166 27.734062172447544,-0.017422585920289897 0.004173392050239556 26.9485378999979
0.03664287593084756,-0.017422585920289897 0.004173392050239556 26.9485378999979,-0.016072017859309527 0.01839524716737296 26.000670151379378
0.050130525249219154,-0.016072017859309527 0.01839524716737296 26.000670151379378,-0.015701807639263616 0.01042382470819412 25.223573623207812
0.09025032772636271,-0.015701807639263616 0.01042382470819412 25.223573623207812,-0.015170873274133101 0.004474717617795639 25.162239536921277
0.06878204570063498,-0.015170873274133101 0.004474717617795639 25.162239536921277,-0.015289337317223421 -0.0023311350524197194 25.53410017178471
0.05976719538927949,-0.015289337317223421 -0.0023311350524197194 25.53410017178471,-0.015247658464563819 -0.0033023862095096614 25.31340479041266
0.04546439168027111,-0.015247658464563819 -0.0033023862095096614 25.31340479041266,-0.014799738854589763 0.0033896032747183407 24.827509857704346
0.041763590251458815,-0.014799738854589763 0.0033896032747183407 24.827509857704346,-0.014838087857507566 0.00019589335477424662 24.132686120541184
0.0583278825389949,-0.014838087857507566 0.00019589335477424662 24.132686120541184,-0.014786714308968331 -0.0022177266628509683 23.631930525674
0.044562611892277254,-0.014786714308968331 -0.0022177266628509683 23.631930525674,-0.014839684499947632 -0.002448530298514798 23.353107585165308
0.03521128404032456,-0.014839684499947632 -0.002448530298514798 23.353107585165308,-0.014838096527340305 -0.0016390891642140346 22.75041961275325
0.03178332942338877,-0.014838096527340305 -0.0016390891642140346 22.75041961275325,-0.013891644346971129 0.010744013686381504 21.866247494908983
0.02870403949772818,-0.013891644346971129 0.010744013686381504 21.866247494908983,-0.013070316187217974 0.014910574619288988 21.086670547845554
0.0607221383167528,-0.013070316187217974 0.014910574619288988 21.086670547845554,-0.012592460499887527 0.008140614434777607 20.59016609112116
0.07279576919915129,-0.012592460499887527 0.008140614434777607 20.59016609112116,-0.012610556776523419 -0.0012968919475044487 20.685064613561384
0.0576506335326666,-0.012610556776523419 -0.0012968919475044487 20.685064613561384,-0.012650532607709658 -0.003628707414956629 20.9843868989472
-0.45295538378551387,-0.012650532607709658 -0.003628707414956629 20.9843868989472,-0.01037435102613167 0.07681508207079643 13.833166325406953
-0.45295538378551387,-0.01037435102613167 0.07681508207079643 13.833166325406953,0.00032635084441797737 0.20087348516593856 2.101771166518477
-0.45295538378551387,0.00032635084441797737 0.20087348516593856 2.101771166518477,0.016506304773008268 0.32271729074909217 -8.944261069508139
-0.45295538378551387,0.016506304773008268 0.32271729074909217 -8.944261069508139,0.038799184529107335 0.4453440375546672 -19.554937639419244
-0.45295538378551387,0.038799184529107335 0.4453440375546672 -19.554937639419244,0.06806253345684776 0.5806351450300894 -29.171928478786644
-0.45295538378551387,0.06806253345684776 0.5806351450300894 -29.171928478786644,0.10336406931987278 0.7104697147074417 -38.280214368019976
1.0,0.10336406931987278 0.7104697147074417 -38.280214368019976,0.13991791623215752 0.6288908015645585 -28.3842703943993
1.0,0.13991791623215752 0.6288908015645585 -28.3842703943993,0.1611654626153073 0.44953794640297673 -4.06929920893395
1.0,0.1611654626153073 0.44953794640297673 -4.06929920893395,0.1752728830523526 0.2821808781424684 20.457749658217423
1.0,0.1752728830523526 0.2821808781424684 20.457749658217423,0.1822252641923163 0.13691430501167737 43.286804216670376
1.0,0.1822252641923163 0.13691430501167737 43.286804216670376,0.18120572526181564 -0.009330343573837899 64.96321488860812
